Ticker,Supply
BTC,19954685
ETH,120776495
XRP,99934118060
BNB,137740114
SOL,618116948
TRX,94667119565
HYPE,961259010
DOGE,1.68035E+11
SUI,9998354835
ADA,44925444925
WLFI,1.00176E+11
LINK,998851646
XLM,49958711808
WBTC,124958
CRO,96738117428
TON,5149170560
ZEC,16466633
MNT,6260698072
AVAX,461798256
LTC,76601162
HBAR,49882720876
WLD,9977685687
ASTER,7894056848
TAO,20913493
TRUMP,997915103
UNI,900917343
CC,37554269175
MYX,1004854094
ONDO,9997763364
ENA,14952153110
DOT,1647202449
FIL,1953641967
LIGHTER,1004378827
PEPE,4.17471E+14
MON,99893352293
AAVE,16016190
PUMPFUN,1.00202E+12
OKB,21027256
XAUT,521419
APT,1189630133
NEAR,1279985628
ARB,9977220957
IP,1026732553
ETC,155141338
XDC,37921077960
XPL,9899947341
ICP,544802524
PAXG,376320
H,9955041747
JUP,6852343059
STABLE,1.00196E+11
SKY,23417721519
ZRO,998212989
OP,4268292683
KAS,27075098814
POL,10608424337
FLR,1.04418E+11
SEI,10047095761
MORPHO,997182564
RENDER,531762062
ALGO,8813077470
2Z,10000000000
ATOM,486081327
VIRTUAL,1004821380
QNT,14629057
ENS,100194974
VET,85490196078
AERO,1816958277
BONK,8.75421E+13
PENGU,79475308642
CRV,2341205674
FF0,10008369952
0G,1000962947
KITE,9984854859
TWT,999743013
STRK,9954545455
PIEVERSE,1000900682
BARD,1001104024
ETHFI,995308362
FET,2709423542
EIGEN,1770942883
ZK,21011219793
WAL,4992896552
PYTH,9987029466
CAKE,348863324
TIA,1152809556
RAY,554923759
STX,1822559294
LDO,998820827
STBL,9917283951
XTZ,1092058070
PENDLE,281119774
KMNO,10001498003
IMX,2003281520
SPX,929111869
BEAT,1002427014
SOSO,999784483
INJ,99879663
KAITO,994121929
DASH,12537600
IOTA,4791711712
LINEA,71758882560
MERL,2103164300
BREV,1066176775
XCN,48840000000
JASMY,51178848814
ATH,41885536823
CFX,5721313492
JTO,999568594
PROVE,997523892
SYRUP,1215702918
DEEP,10004822446
GRT,10787284895
FARTCOIN,1002661854
CHZ,10198482061
GNO,3002283
ZORA,9975719000
JST,9897944720
WIF,996265960
NEO,99756613
KAIA,5872294058
ESPORTS,896816857
SUN,19910678643
NXPC,1002515091
CYS,998539959
W,9984856263
MOVE,9996915167
SIGN,10001033859
A,2100872410
SOON,988854569
UB,10003138075
SAND,2998885350
S,3881670293
YZY,999275362
GALA,46918674298
HNT,223416200
GRASS,1000664932
AVNT,1003074671
DEXE,96541950
BAT,1502496656
LAGRANGE,999168399
BERA,521592166
MANA,2188109966
THETA,997545626
YB,712960000
FLUID,99893335
RSR,99860570687
VANATOKEN,119928367
ZBCN,99160720353
SAHARA,10003820771
HUMA,9997219326
METEORA,996619217
SOMI,998982928
CORE,2098087223
COMP,9984354
AR,65366252
GLM,1000263852
AXS,269235462
XPIN,99752475248
BITLIGHT,415812379
SPK,10070306363
RUNE,424719853
RED,1002091555
ICNT,699806683
MMT,1001280512
HOME,10047928513
1INCH,1497033375
APEX,498433911
COW,999077955
ALEO,1904589372
SUPER,998281049
ME,998429319
APE,998400711
ARKM,995840868
KGEN,994775435
CVX,99630824
ERA,1000094073
SONIC,2398351648
TAG,4.04438E+11
HEMI,10008660214
VELO,23899317406
ZEN,20896404
EGLD,29063694
PLUME,9993197279
BABYL,10604560623
BEAM,58406969508
DBR,10017656501
BRETT,9887226082
TAIKO,1000710771
LAYER,998837209
XAN,9966204986
SNX,343813936
HUMIDIFI,997645740
SFP,499718468
DRIFT,1000682206
XCH,32466471
BIO,3304424432
ZETA,2111250786
CTC,596860339
FLOW,1578735632
